% Twitter Data
@RELATION tweets

@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE mention_romney NUMERIC
@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE mention_obama NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
pro_obama,1,1,0,128,0,1,3,8,1,1,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
pro_obama,0,0,1,94,0,0,0,4,1,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
pro_obama,2,1,0,124,0,1,0,6,3,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,4,0,0,137,0,0,5,8,0,0,6,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
pro_romney,1,0,0,81,0,1,0,1,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,4,1,1,143,0,0,1,4,1,2,7,2,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
pro_obama,0,1,0,30,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pro_obama,1,1,0,130,0,0,3,6,2,0,5,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
pro_obama,0,0,1,59,0,1,2,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,2,97,0,1,2,3,2,2,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_obama,1,1,0,90,0,0,1,3,1,0,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
pro_obama,0,1,1,69,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
